Equipment;Familly;Category;Event;From;To;duration
Prakla №1_ KATCO;use;LEVELLING;Планировка под агрегат;13.04.2025 21:30;14.04.2025 0:00;2,5
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;13.04.2025 20:30;13.04.2025 21:30;1
Prakla №1_ KATCO;use;WAITING;ППР;13.04.2025 20:00;13.04.2025 20:30;0,5
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;13.04.2025 17:00;13.04.2025 20:00;3
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;13.04.2025 16:00;13.04.2025 17:00;1
Prakla №1_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;13.04.2025 15:30;13.04.2025 16:00;0,5
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;13.04.2025 14:30;13.04.2025 15:30;1
Prakla №1_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;13.04.2025 13:30;13.04.2025 14:30;1
Prakla №1_ KATCO;standBy;WAITING;Обед;13.04.2025 12:30;13.04.2025 13:30;1
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;13.04.2025 9:30;13.04.2025 12:30;3
Prakla №1_ KATCO;use;WAITING;ППР;13.04.2025 9:00;13.04.2025 9:30;0,5
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;13.04.2025 8:30;13.04.2025 9:00;0,5
Prakla №1_ KATCO;use;WAITING;ППР;13.04.2025 8:00;13.04.2025 8:30;0,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;13.04.2025 3:30;13.04.2025 8:00;4,5
Prakla №1_ KATCO;use;DRILLING;Промывка ствола скважины;13.04.2025 2:30;13.04.2025 3:30;1
Prakla №1_ KATCO;use;DRILLING;Замена бурового раствора;13.04.2025 2:00;13.04.2025 2:30;0,5
Prakla №1_ KATCO;standBy;WAITING;Обед;13.04.2025 1:00;13.04.2025 2:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;12.04.2025 21:30;13.04.2025 1:00;3,5
Prakla №1_ KATCO;use;ASSEMBLY;Копка зумпфа;12.04.2025 21:00;12.04.2025 21:30;0,5
Prakla №1_ KATCO;use;WAITING;ППР;12.04.2025 20:00;12.04.2025 21:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;12.04.2025 18:30;12.04.2025 20:00;1,5
Prakla №1_ KATCO;repair;REPAIR;Поломка гидравлической части;12.04.2025 15:00;12.04.2025 18:30;3,5
Prakla №1_ KATCO;standBy;SB_WAITING_FOR_EQUIPMENT;Ожидание трактора;12.04.2025 14:00;12.04.2025 15:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;12.04.2025 13:00;12.04.2025 14:00;1
Prakla №1_ KATCO;standBy;WAITING;Обед;12.04.2025 12:00;12.04.2025 13:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;12.04.2025 11:00;12.04.2025 12:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;12.04.2025 10:00;12.04.2025 11:00;1
Prakla №1_ KATCO;use;WAITING;ППР;12.04.2025 8:00;12.04.2025 10:00;2
Prakla №1_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;12.04.2025 4:00;12.04.2025 8:00;4
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;12.04.2025 2:00;12.04.2025 4:00;2
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;12.04.2025 1:00;12.04.2025 2:00;1
Prakla №1_ KATCO;standBy;WAITING;Обед;12.04.2025 0:00;12.04.2025 1:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;11.04.2025 20:30;12.04.2025 0:00;3,5
Prakla №1_ KATCO;use;WAITING;ППР;11.04.2025 20:00;11.04.2025 20:30;0,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;11.04.2025 19:00;11.04.2025 20:00;1
Prakla №1_ KATCO;use;DRILLING;Промывка ствола скважины;11.04.2025 18:30;11.04.2025 19:00;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.04.2025 13:00;11.04.2025 18:30;5,5
Prakla №1_ KATCO;standBy;WAITING;Обед;11.04.2025 12:00;11.04.2025 13:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.04.2025 11:30;11.04.2025 12:00;0,5
Prakla №1_ KATCO;repair;REPAIR;Ремонт;11.04.2025 10:30;11.04.2025 11:30;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.04.2025 9:00;11.04.2025 10:30;1,5
Prakla №1_ KATCO;use;WAITING;ППР;11.04.2025 8:30;11.04.2025 9:00;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.04.2025 5:00;11.04.2025 8:30;3,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;11.04.2025 4:00;11.04.2025 5:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.04.2025 0:00;11.04.2025 4:00;4
Prakla №1_ KATCO;standBy;WAITING;Обед;10.04.2025 23:30;11.04.2025 0:00;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;10.04.2025 20:30;10.04.2025 23:30;3
