Equipment;Familly;Category;Event;From;To;duration
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;22.05.2025 10:00;22.05.2025 11:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;22.05.2025 8:30;22.05.2025 10:00;1,5
Prakla №2_ KATCO;use;WAITING;ППР;22.05.2025 8:00;22.05.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;22.05.2025 0:00;22.05.2025 8:00;8
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;21.05.2025 23:00;22.05.2025 0:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.05.2025 18:00;21.05.2025 23:00;5
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;21.05.2025 17:30;21.05.2025 18:00;0,5
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;21.05.2025 14:00;21.05.2025 17:30;3,5
Prakla №2_ KATCO;standBy;WAITING;Обед;21.05.2025 13:00;21.05.2025 14:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;21.05.2025 12:00;21.05.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;21.05.2025 11:00;21.05.2025 12:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.05.2025 10:00;21.05.2025 11:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание топлива;21.05.2025 9:00;21.05.2025 10:00;1
Prakla №2_ KATCO;use;WAITING;ППР;21.05.2025 8:00;21.05.2025 9:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание топлива;21.05.2025 6:00;21.05.2025 8:00;2
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;20.05.2025 16:30;21.05.2025 6:00;13,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;20.05.2025 15:00;20.05.2025 16:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;20.05.2025 13:00;20.05.2025 15:00;2
Prakla №2_ KATCO;standBy;WAITING;Обед;20.05.2025 12:00;20.05.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;20.05.2025 10:00;20.05.2025 12:00;2
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;20.05.2025 9:00;20.05.2025 10:00;1
Prakla №2_ KATCO;use;WAITING;ППР;20.05.2025 8:00;20.05.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;20.05.2025 5:30;20.05.2025 8:00;2,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;20.05.2025 5:00;20.05.2025 5:30;0,5
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;20.05.2025 3:00;20.05.2025 5:00;2
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;20.05.2025 2:00;20.05.2025 3:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;20.05.2025 1:00;20.05.2025 2:00;1
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;19.05.2025 23:30;20.05.2025 1:00;1,5
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;19.05.2025 20:30;19.05.2025 23:30;3
Prakla №2_ KATCO;use;WAITING;ППР;19.05.2025 20:00;19.05.2025 20:30;0,5
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;19.05.2025 18:30;19.05.2025 20:00;1,5
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;19.05.2025 16:30;19.05.2025 18:30;2
Prakla №2_ KATCO;standBy;WAITING;Ожидание каротажа фаза 1;19.05.2025 15:30;19.05.2025 16:30;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;19.05.2025 13:00;19.05.2025 15:30;2,5
Prakla №2_ KATCO;standBy;WAITING;Обед;19.05.2025 12:00;19.05.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;19.05.2025 9:00;19.05.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;19.05.2025 8:00;19.05.2025 9:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание топлива;19.05.2025 7:00;19.05.2025 8:00;1
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;19.05.2025 6:00;19.05.2025 7:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.05.2025 22:30;19.05.2025 6:00;7,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;18.05.2025 21:00;18.05.2025 22:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.05.2025 20:30;18.05.2025 21:00;0,5
Prakla №2_ KATCO;use;WAITING;ППР;18.05.2025 20:00;18.05.2025 20:30;0,5
Prakla №2_ KATCO;standBy;SB_WAITING_FOR_EQUIPMENT;Ожидание водовоза;18.05.2025 19:00;18.05.2025 20:00;1
Prakla №2_ KATCO;use;DRILLING;Пилотное бурение;18.05.2025 15:30;18.05.2025 19:00;3,5
Prakla №2_ KATCO;standBy;STANDBY;Ожидание работы;18.05.2025 13:00;18.05.2025 15:30;2,5
Prakla №2_ KATCO;standBy;WAITING;Обед;18.05.2025 12:00;18.05.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;18.05.2025 11:00;18.05.2025 12:00;1
Prakla №2_ KATCO;use;DRILLING;Пилотное бурение;18.05.2025 10:00;18.05.2025 11:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;18.05.2025 9:00;18.05.2025 10:00;1
Prakla №2_ KATCO;use;DRILLING;Пилотное бурение;18.05.2025 8:30;18.05.2025 9:00;0,5
Prakla №2_ KATCO;use;WAITING;ППР;18.05.2025 8:00;18.05.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.05.2025 0:00;18.05.2025 8:00;8
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;17.05.2025 23:00;18.05.2025 0:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.05.2025 21:00;17.05.2025 23:00;2
Prakla №2_ KATCO;use;WAITING;ППР;17.05.2025 20:00;17.05.2025 21:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание работы;17.05.2025 18:00;17.05.2025 20:00;2
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.05.2025 14:00;17.05.2025 18:00;4
Prakla №2_ KATCO;standBy;WAITING;Обед;17.05.2025 13:00;17.05.2025 14:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.05.2025 9:00;17.05.2025 13:00;4
Prakla №2_ KATCO;use;WAITING;ППР;17.05.2025 8:00;17.05.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.05.2025 6:00;17.05.2025 8:00;2
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;17.05.2025 5:00;17.05.2025 6:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.05.2025 2:00;17.05.2025 5:00;3
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;17.05.2025 1:30;17.05.2025 2:00;0,5
Prakla №2_ KATCO;use;WAITING;ППР;17.05.2025 1:00;17.05.2025 1:30;0,5
Prakla №2_ KATCO;standBy;WAITING;Обед;17.05.2025 0:00;17.05.2025 1:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;16.05.2025 22:00;17.05.2025 0:00;2
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;16.05.2025 20:00;16.05.2025 22:00;2
Prakla №2_ KATCO;repair;REPAIR;Ремонт;15.05.2025 8:00;16.05.2025 20:00;36
Prakla №2_ KATCO;repair;REPAIR;Поломка агрегата;14.05.2025 20:00;15.05.2025 8:00;12
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;14.05.2025 17:00;14.05.2025 20:00;3
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;14.05.2025 16:00;14.05.2025 17:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;14.05.2025 14:30;14.05.2025 16:00;1,5
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;14.05.2025 13:00;14.05.2025 14:30;1,5
Prakla №2_ KATCO;standBy;WAITING;Обед;14.05.2025 12:00;14.05.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка агрегата;14.05.2025 9:00;14.05.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;14.05.2025 8:00;14.05.2025 9:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;14.05.2025 1:00;14.05.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;14.05.2025 0:00;14.05.2025 1:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;13.05.2025 21:00;14.05.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;13.05.2025 20:00;13.05.2025 21:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;13.05.2025 14:00;13.05.2025 20:00;6
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;13.05.2025 13:00;13.05.2025 14:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;13.05.2025 9:00;13.05.2025 13:00;4
Prakla №2_ KATCO;use;WAITING;ППР;13.05.2025 8:00;13.05.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;13.05.2025 5:00;13.05.2025 8:00;3
Prakla №2_ KATCO;standBy;STANDBY;Ожидание инструмента;13.05.2025 4:00;13.05.2025 5:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;13.05.2025 2:00;13.05.2025 4:00;2
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;13.05.2025 1:00;13.05.2025 2:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;13.05.2025 0:00;13.05.2025 1:00;1
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;12.05.2025 23:00;13.05.2025 0:00;1
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;12.05.2025 22:00;12.05.2025 23:00;1
Prakla №2_ KATCO;standBy;SB_WAITING_FOR_EQUIPMENT;Ожидание трактора;12.05.2025 20:00;12.05.2025 22:00;2
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;12.05.2025 18:30;12.05.2025 20:00;1,5
Prakla №2_ KATCO;use;ASSEMBLY;Установка кондуктора;12.05.2025 18:00;12.05.2025 18:30;0,5
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;12.05.2025 16:30;12.05.2025 18:00;1,5
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;12.05.2025 15:30;12.05.2025 16:30;1
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;12.05.2025 14:00;12.05.2025 15:30;1,5
Prakla №2_ KATCO;standBy;WAITING;Обед;12.05.2025 13:00;12.05.2025 14:00;1
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;12.05.2025 11:00;12.05.2025 13:00;2
Prakla №2_ KATCO;standBy;WAITING;Ожидание каротажа фаза 1;12.05.2025 9:00;12.05.2025 11:00;2
Prakla №2_ KATCO;use;WAITING;ППР;12.05.2025 8:00;12.05.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;12.05.2025 4:00;12.05.2025 8:00;4
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;12.05.2025 2:30;12.05.2025 4:00;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.05.2025 21:00;12.05.2025 2:30;5,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;11.05.2025 20:30;11.05.2025 21:00;0,5
Prakla №2_ KATCO;use;WAITING;ППР;11.05.2025 20:00;11.05.2025 20:30;0,5
Prakla №2_ KATCO;use;COMPLETION;СПО при сооружении;11.05.2025 18:00;11.05.2025 20:00;2
Prakla №2_ KATCO;use;;Дополнительные работы;11.05.2025 16:00;11.05.2025 18:00;2
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;11.05.2025 13:00;11.05.2025 16:00;3
Prakla №2_ KATCO;standBy;WAITING;Обед;11.05.2025 12:00;11.05.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;11.05.2025 9:30;11.05.2025 12:00;2,5
Prakla №2_ KATCO;use;;Дополнительные работы;11.05.2025 9:00;11.05.2025 9:30;0,5
Prakla №2_ KATCO;use;WAITING;ППР;11.05.2025 8:00;11.05.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.05.2025 3:30;11.05.2025 8:00;4,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;11.05.2025 1:00;11.05.2025 3:30;2,5
Prakla №2_ KATCO;standBy;WAITING;Обед;11.05.2025 0:00;11.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;10.05.2025 23:00;11.05.2025 0:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт;10.05.2025 22:00;10.05.2025 23:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;10.05.2025 21:00;10.05.2025 22:00;1
Prakla №2_ KATCO;use;WAITING;ППР;10.05.2025 20:00;10.05.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;10.05.2025 16:00;10.05.2025 20:00;4
Prakla №2_ KATCO;standBy;STANDBY;Ожидание людей;10.05.2025 13:00;10.05.2025 16:00;3
Prakla №2_ KATCO;standBy;WAITING;Обед;10.05.2025 12:00;10.05.2025 13:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание людей;10.05.2025 8:00;10.05.2025 12:00;4
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;10.05.2025 5:00;10.05.2025 8:00;3
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;10.05.2025 1:00;10.05.2025 5:00;4
Prakla №2_ KATCO;standBy;WAITING;Обед;10.05.2025 0:00;10.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.05.2025 22:00;10.05.2025 0:00;2
Prakla №2_ KATCO;use;ASSEMBLY;Завоз раствора;09.05.2025 21:30;09.05.2025 22:00;0,5
Prakla №2_ KATCO;use;DRILLING;Чистка зумпфа;09.05.2025 21:00;09.05.2025 21:30;0,5
Prakla №2_ KATCO;use;WAITING;ППР;09.05.2025 20:00;09.05.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.05.2025 8:30;09.05.2025 20:00;11,5
Prakla №2_ KATCO;use;WAITING;ППР;09.05.2025 8:00;09.05.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;09.05.2025 2:00;09.05.2025 8:00;6
Prakla №2_ KATCO;standBy;WAITING;Обед;09.05.2025 1:00;09.05.2025 2:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;09.05.2025 0:00;09.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;08.05.2025 20:30;09.05.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;08.05.2025 20:00;08.05.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;08.05.2025 16:30;08.05.2025 20:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;08.05.2025 15:30;08.05.2025 16:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;08.05.2025 13:00;08.05.2025 15:30;2,5
Prakla №2_ KATCO;standBy;WAITING;Обед;08.05.2025 12:00;08.05.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;08.05.2025 8:30;08.05.2025 12:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;08.05.2025 8:00;08.05.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;08.05.2025 6:00;08.05.2025 8:00;2
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;08.05.2025 5:00;08.05.2025 6:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;08.05.2025 1:00;08.05.2025 5:00;4
Prakla №2_ KATCO;standBy;WAITING;Обед;08.05.2025 0:00;08.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;07.05.2025 21:30;08.05.2025 0:00;2,5
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;07.05.2025 20:30;07.05.2025 21:30;1
Prakla №2_ KATCO;use;WAITING;ППР;07.05.2025 20:00;07.05.2025 20:30;0,5
Prakla №2_ KATCO;standBy;STANDBY;Ожидание работы;07.05.2025 18:30;07.05.2025 20:00;1,5
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;07.05.2025 16:00;07.05.2025 18:30;2,5
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;07.05.2025 14:00;07.05.2025 16:00;2
Prakla №2_ KATCO;repair;REPAIR;Ремонт;05.05.2025 8:00;07.05.2025 14:00;54
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;05.05.2025 7:00;05.05.2025 8:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;05.05.2025 6:00;05.05.2025 7:00;1
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;05.05.2025 5:00;05.05.2025 6:00;1
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;05.05.2025 3:00;05.05.2025 5:00;2
Prakla №2_ KATCO;standBy;WAITING;Ожидание каротажа фаза 1;05.05.2025 1:00;05.05.2025 3:00;2
Prakla №2_ KATCO;standBy;WAITING;Обед;05.05.2025 0:00;05.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.05.2025 20:30;05.05.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;04.05.2025 20:00;04.05.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.05.2025 15:00;04.05.2025 20:00;5
Prakla №2_ KATCO;repair;REPAIR;Ремонт;04.05.2025 13:30;04.05.2025 15:00;1,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.05.2025 12:30;04.05.2025 13:30;1
Prakla №2_ KATCO;standBy;WAITING;Обед;04.05.2025 12:00;04.05.2025 12:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.05.2025 11:30;04.05.2025 12:00;0,5
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;04.05.2025 10:30;04.05.2025 11:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.05.2025 4:30;04.05.2025 10:30;6
Prakla №2_ KATCO;use;;Дополнительные работы;04.05.2025 3:00;04.05.2025 4:30;1,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.05.2025 1:00;04.05.2025 3:00;2
Prakla №2_ KATCO;standBy;WAITING;Обед;04.05.2025 0:00;04.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.05.2025 20:30;04.05.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;03.05.2025 20:00;03.05.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.05.2025 13:00;03.05.2025 20:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;03.05.2025 12:00;03.05.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.05.2025 9:30;03.05.2025 12:00;2,5
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;03.05.2025 8:30;03.05.2025 9:30;1
Prakla №2_ KATCO;use;WAITING;ППР;03.05.2025 8:00;03.05.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.05.2025 6:30;03.05.2025 8:00;1,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;03.05.2025 5:30;03.05.2025 6:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.05.2025 1:00;03.05.2025 5:30;4,5
Prakla №2_ KATCO;standBy;WAITING;Обед;03.05.2025 0:00;03.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.05.2025 20:30;03.05.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;02.05.2025 20:00;02.05.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.05.2025 13:00;02.05.2025 20:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;02.05.2025 12:00;02.05.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.05.2025 11:30;02.05.2025 12:00;0,5
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;02.05.2025 10:00;02.05.2025 11:30;1,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;02.05.2025 9:30;02.05.2025 10:00;0,5
Prakla №2_ KATCO;repair;REPAIR;Ремонт;02.05.2025 9:00;02.05.2025 9:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;02.05.2025 8:30;02.05.2025 9:00;0,5
Prakla №2_ KATCO;use;WAITING;ППР;02.05.2025 8:00;02.05.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.05.2025 1:00;02.05.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;02.05.2025 0:00;02.05.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;01.05.2025 21:00;02.05.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;01.05.2025 20:00;01.05.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;01.05.2025 16:00;01.05.2025 20:00;4
Prakla №2_ KATCO;repair;REPAIR;Ремонт;01.05.2025 13:00;01.05.2025 16:00;3
Prakla №2_ KATCO;standBy;WAITING;Обед;01.05.2025 12:00;01.05.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;ТО1;01.05.2025 9:00;01.05.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;01.05.2025 8:00;01.05.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;01.05.2025 5:30;01.05.2025 8:00;2,5
Prakla №2_ KATCO;use;ASSEMBLY;Завоз раствора;01.05.2025 1:00;01.05.2025 5:30;4,5
Prakla №2_ KATCO;standBy;WAITING;Обед;01.05.2025 0:00;01.05.2025 1:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Копка зумпфа;30.04.2025 23:00;01.05.2025 0:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;30.04.2025 21:30;30.04.2025 23:00;1,5
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;30.04.2025 20:30;30.04.2025 21:30;1
Prakla №2_ KATCO;use;WAITING;ППР;30.04.2025 20:00;30.04.2025 20:30;0,5
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;30.04.2025 19:00;30.04.2025 20:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт;30.04.2025 18:00;30.04.2025 19:00;1
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;30.04.2025 17:00;30.04.2025 18:00;1
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;30.04.2025 14:00;30.04.2025 17:00;3
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;30.04.2025 13:00;30.04.2025 14:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;30.04.2025 12:00;30.04.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;30.04.2025 8:30;30.04.2025 12:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;30.04.2025 8:00;30.04.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;30.04.2025 3:00;30.04.2025 8:00;5
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;30.04.2025 2:00;30.04.2025 3:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;30.04.2025 0:30;30.04.2025 2:00;1,5
Prakla №2_ KATCO;standBy;WAITING;Обед;29.04.2025 23:30;30.04.2025 0:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;29.04.2025 20:30;29.04.2025 23:30;3
Prakla №2_ KATCO;use;WAITING;ППР;29.04.2025 20:00;29.04.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;29.04.2025 16:00;29.04.2025 20:00;4
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;29.04.2025 13:00;29.04.2025 16:00;3
Prakla №2_ KATCO;standBy;WAITING;Обед;29.04.2025 12:00;29.04.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;29.04.2025 11:00;29.04.2025 12:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;29.04.2025 9:00;29.04.2025 11:00;2
Prakla №2_ KATCO;use;WAITING;ППР;29.04.2025 8:00;29.04.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;29.04.2025 1:00;29.04.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;29.04.2025 0:00;29.04.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;28.04.2025 22:00;29.04.2025 0:00;2
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;28.04.2025 21:00;28.04.2025 22:00;1
Prakla №2_ KATCO;use;WAITING;ППР;28.04.2025 20:00;28.04.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;28.04.2025 13:00;28.04.2025 20:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;28.04.2025 12:00;28.04.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;28.04.2025 8:30;28.04.2025 12:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;28.04.2025 8:00;28.04.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;28.04.2025 5:00;28.04.2025 8:00;3
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;28.04.2025 3:30;28.04.2025 5:00;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;28.04.2025 1:00;28.04.2025 3:30;2,5
Prakla №2_ KATCO;standBy;WAITING;Обед;28.04.2025 0:00;28.04.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;27.04.2025 21:30;28.04.2025 0:00;2,5
Prakla №2_ KATCO;use;WAITING;ППР;27.04.2025 20:00;27.04.2025 21:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;27.04.2025 19:00;27.04.2025 20:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Завоз раствора;27.04.2025 18:00;27.04.2025 19:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Копка зумпфа;27.04.2025 17:00;27.04.2025 18:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;27.04.2025 15:00;27.04.2025 17:00;2
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;27.04.2025 13:30;27.04.2025 15:00;1,5
Prakla №2_ KATCO;standBy;WAITING;Обед;27.04.2025 12:00;27.04.2025 13:30;1,5
